"","X","Reference.ID","Taxonomic.Category","Edge.Center.Margin","Cropping.System","Landscape.Complexity","Latitude..N","Longitude..E","Sampling.Method","Con..Mean","Org..Mean","Con..SD","Org..SD","Con..n","Org..n","Hedges.g","Temp","Prec","lat.long"
"38",38,"KRAU","All Pollinators (Syriphidae + Lepidoptera)","Edge","Cereal","Complex",49.93,11.57,"Transects",1.5,167.6,3.098386677,176.9953389,15,15,1.291091568,8,674,"49.93 11.57"
"39",39,"KREM","Bees","Edge","Other","Simple",38.68,-121.77,"Transects",24.69,31.54,12.24,35.53112016,4,5,0.229135793,16.2,473,"38.68 -121.77"
"40",40,"LORA","Bees","Across System","Mixed","Complex",31.4,52.62,"Pan Traps",335.6666667,300.3333333,90.02259775,66.18342165,3,3,-0.357772754,14.4,150,"31.4 52.62"
"41",41,"MARJ14","Bumblebees","Margin","Cereal","Simple",57.87,26.95,"Transects",42.3,57.33,13.53182914,15.98613149,11,11,0.976322046,4.9,616,"57.87 26.95"
"42",42,"MARJ14","Bumblebees","Margin","Cereal","Simple",59.07,26.2,"Transects",20.22,29.87,4.311612227,4.311612227,11,11,2.153149173,4.6,630,"59.07 26.2"
"43",43,"MORA","Bees","Across System","Oilseed",NA,58,116,"Combination",57.5,85.5,14.6,14.2,4,4,1.690658199,-9.1,446,"58 116"
"44",44,"OSTA ","Pollinators","Edge","Perennial","Gradient",44.8,-0.23,"Combination",98.34,86.84,26.37384984,19.13663153,20,20,-0.489190668,12.4,912,"44.8 -0.23"
"45",45,"POWE11","Bees","Center","Pasture","Complex",52.47,-8.16,"Transects",1.63,7.36,2.940918224,3.193900437,10,10,1.787575964,9,1112,"52.47 -8.16"
"46",46,"POWE11","Bees","Edge","Pasture","Complex",52.47,-8.16,"Transects",12.79,16.9,4.174206511,3.668242086,10,10,1.001771652,9,1112,"52.47 -8.16"
"47",47,"POWE11","Hoverflies","Center","Pasture","Complex",52.47,-8.16,"Transects",1.35,2.88,4.237452065,3.06740933,10,10,0.396149641,9,1112,"52.47 -8.16"
"48",48,"POWE11","Hoverflies","Edge","Pasture","Complex",52.47,-8.16,"Transects",21.15,41.92,4.269074841,3.668242086,10,10,4.99807326,9,1112,"52.47 -8.16"
"49",49,"POWE16","Hoverflies","Across System","Pasture","Complex",52.47,-8.16,"Combination",342.59,787.04,91.8793697,173.4372925,9,9,3.049947976,9,1112,"52.47 -8.16"
"50",50,"ROSA","Bees","Across System","Perennial","Complex",40.17,-5.83,"Transects",12.3,14.2,5.633826408,4.409081537,6,6,0.346702004,9.8,679,"40.17 -5.83"
"51",51,"RUND06","Butterflies","Margin","Cereal","Simple",55.99,13.6,"Transects",0.4,1.73,0.073484692,0.318433667,6,6,5.312744204,7.4,696,"55.99 13.6"
"52",52,"RUND06","Butterflies","Margin","Cereal","Complex",55.99,13.6,"Transects",3.55,4.48,0.514392846,0.734846923,6,6,1.353461249,7.4,696,"55.99 13.6"
"53",53,"RUND08","Bumblebees","Margin","Cereal","Simple",55.99,13.6,"Transects",0.27,1.97,0.122474487,1.004290795,6,6,2.193495129,7.4,696,"55.99 13.6"
"54",54,"RUND08","Bumblebees","Margin","Cereal","Complex",55.99,13.6,"Transects",1.35,1.82,0.612372436,0.710352025,6,6,0.654196384,7.4,696,"55.99 13.6"
"55",55,"SIDE","Bumblebees","Center","Cereal","Simple",55.99,13.6,"Transects",8.3,17.4,6,16.1,18,20,0.733301977,7.4,696,"55.99 13.6"
"56",56,"TUCK","Bees","Across System","Perennial","Complex",43.24,-71.02,"Combination",2512.5,4512.5,216.5063509,216.5063509,12,12,8.919066227,7.4,1129,"43.24 -71.02"
"57",57,"UZMA","Solitary Wasps","Center","Perennial","Gradient",49.85,8.35,"Trap Nests",4.74,4.04,7.146565609,3.91171318,14,15,-0.118102927,9.9,584,"49.85 8.35"
