"","Reference.ID","Taxonomic.Category","Edge.Center.Margin","Cropping.System","Landscape.Complexity","Latitude..N","Longitude..E","WWF.Biome","Sampling.Method","Scale","Con..Mean","Org..Mean","Con..SD","Org..SD","Con..n","Org..n","Hedges.g","Temp","Prec"
"26","HOLZ07","Bees","Edge+Center","Cereal","Gradient",51.53,9.93,"TBMF","Transects","Field",8.6,63.1,10.58300524,31.4844406,7,7,2.172328071,8.3,695
"27","HUBE","Bees","Edge","Cereal","N/A",48.65,9.38,"TBMF","Transects","Farm",6.6,4.571428571,1.466274391,0.865730269,10,7,-1.599129165,8.5,768
"28","JONA11","Butterflies","Margin","Cereal","Gradient",59.86,17.64,"TBMF","Transects","Field",42.4,68,12.07476708,34.78505426,20,40,0.970465309,5.6,558
"29","JONA13","Moths","Margin","Mixed","Gradient",59.97,16.78,"TBMF","Pan Traps","Field",48.55,48.55,10.78600329,9.194325992,6,6,0,5.4,590
"30","KRAU","Pollinating Insects","Center","Cereal","Complex",49.93,11.57,"TBMF","Transects","Field",0.1,38.3,0.387298335,37.95523679,15,15,1.384792884,8,674
"31","KRAU","Pollinating Insects","Edge","Cereal","Complex",49.93,11.57,"TBMF","Transects","Field",1.5,167.6,3.098386677,176.9953389,15,15,1.291091568,8,674
"32","KREM","Bees","Edge","Other","Simple",38.68,-121.77,"TGSS","Transects","Farm",24.69,31.54,12.24,35.53112016,4,5,0.229135793,16.2,473
"33","LORA","Bees","Across System","Mixed","Complex",31.4,52.62,"DXS","Pan Traps","Farm",335.6666667,300.3333333,74.57264201,56.87667503,3,3,-0.426232065,14.4,150
"34","MARJ14","Bumblebees","Margin","Cereal","Simple",57.87,26.95,"TBMF","Transects","Farm",42.3,57.33,13.53182914,15.98613149,11,11,0.976322046,4.9,616
"35","MARJ14","Bumblebees","Margin","Cereal","Simple",59.07,26.2,"TBMF","Transects","Farm",20.22,29.87,4.311612227,4.311612227,11,11,2.153149173,4.6,630
"36","POWE11","Bees","Center","Pasture","Complex",52.47,-8.16,"TBMF","Transects","Farm",1.63,7.36,2.940918224,3.193900437,10,10,1.787575964,9,1112
"37","POWE11","Bees","Edge","Pasture","Complex",52.47,-8.16,"TBMF","Transects","Farm",12.79,16.9,4.174206511,3.668242086,10,10,1.001771652,9,1112
"38","POWE11","Hoverflies","Center","Pasture","Complex",52.47,-8.16,"TBMF","Transects","Farm",1.35,2.88,4.237452065,3.06740933,10,10,0.396149641,9,1112
"39","POWE11","Hoverflies","Edge","Pasture","Complex",52.47,-8.16,"TBMF","Transects","Farm",21.15,41.92,4.269074841,3.668242086,10,10,4.99807326,9,1112
"40","POWE16","Hoverflies","Across System","Pasture","Complex",52.47,-8.16,"TBMF","Combination","Farm",342.59,787.04,76.11074904,149.0484517,9,9,3.576887943,9,1112
"41","RUND06","Butterflies","Margin","Cereal","Complex",55.99,13.6,"TBMF","Transects","Farm",0.4,1.73,0.073484692,0.318433667,6,6,5.312744204,7.4,696
"42","RUND06","Butterflies","Margin","Cereal","Complex",55.99,13.6,"TBMF","Transects","Farm",3.55,4.48,0.514392846,0.734846923,6,6,1.353461249,7.4,696
"43","RUND08","Bumblebees","Margin","Cereal","Complex",55.99,13.6,"TBMF","Transects","Farm",0.27,1.97,0.122474487,1.004290795,6,6,2.193495129,7.4,696
"44","RUND08","Bumblebees","Margin","Cereal","Complex",55.99,13.6,"TBMF","Transects","Farm",1.35,1.82,0.612372436,0.710352025,6,6,0.654196384,7.4,696
"45","SIDE","Bumblebees","Center","Cereal","Simple",55.99,13.6,"TBMF","Transects","Field",8.3,17.4,6,16.1,18,20,0.733301977,7.4,696
"46","TUCK","Bees","Across System","Perrenial","Complex",43.24,-71.02,"TBMF","Combination","Farm",2512.5,4512.5,216.5063509,216.5063509,12,12,8.919066227,7.4,1129
"47","UZMA","Wasps","Center","Perrenial","Gradient",49.85,8.35,"TBMF","Trap Nests","Farm",4.74,4.04,7.146565609,3.91171318,14,15,-0.118102927,9.9,584
