"","X.1","X","Reference.ID","Taxonomic.Category","Edge.Center.Margin","Cropping.System","Landscape.Complexity","Latitude..N","Longitude..E","Sampling.Method","Con..Mean","Org..Mean","Con..SD","Org..SD","Con..n","Org..n","Hedges.g","Temp","Prec","lat.long","StudyNum","Obs.ID","hedges","variance"
"26",26,26,"GEPP","Hoverflies","Edge","Cereal","Simple",51.53,9.94,"Combination",2.57,4.04,1.2,2.31,9,9,0.798624132,8.3,695,"51.53 9.94",10,26,0.76049289256379,0.238287484434446
"27",27,27,"GEPP","Solitary Bees","Edge","Cereal","Simple",51.53,9.94,"Combination",0.75,1.53,1.26,1.26,9,9,0.619047619,8.3,695,"51.53 9.94",10,27,0.589490469164599,0.231874972589886
"28",28,28,"GODE","Butterflies","Center","Cereal","Complex",42.75,-7.93,"Transects",4.1,5.1,11.61895004,9.295160031,15,15,0.095044325,11.9,1247,"42.75 -7.93",11,28,0.0924716758979865,0.133475850180723
"29",29,29,"HAPP","Bumblebees","Edge","Cereal","Complex",52.64,9.85,"Pan Traps",3.55,3.79,0.9,0.99,9,9,0.253680797,8.8,658,"52.64 9.85",12,29,0.241568511647487,0.223843204050544
"30",30,30,"HAPP","Bumblebees","Edge","Cereal","Simple",51.01,10.85,"Pan Traps",2.11,2.9,1.47,1.26,9,9,0.577049849,8.5,510,"51.01 10.85",12,30,0.549497931347203,0.230609666015413
"31",31,31,"HAPP","Solitary Bees","Edge","Cereal","Complex",52.64,9.85,"Pan Traps",9.67,10.53,3.48,4.89,9,9,0.202640629,8.8,658,"52.64 9.85",12,31,0.192965315705002,0.223256544807365
"32",32,32,"HAPP","Solitary Bees","Edge","Cereal","Simple",51.01,10.85,"Pan Traps",10.51,13.69,7.14,7.62,9,9,0.430666639,8.5,510,"51.01 10.85",12,32,0.410103958251949,0.226894034904831
"33",33,33,"HAUS","Lepidoptera","Edge","Pasture",NA,48.5,11.53,"Other",266.5,209.5,85.45097559,64.06073936,2,2,-0.754796504,7.9,800,"48.5 11.53",13,33,-0.425848325082536,1.02266834949695
"34",34,34,"HOLZ07","Bees","Edge+Center","Cereal","Gradient",51.53,9.93,"Transects",3.09,8.44,1.719738352,2.963241468,7,7,2.208341213,8.3,695,"51.53 9.93",14,34,2.06687890060464,0.438285299634452
"35",35,35,"HOLZ07","Bees","Edge+Center","Cereal","Gradient",50.82,8.77,"Transects",2.62,6.74,1.878483431,2.698666337,7,7,1.772022523,8.7,753,"50.82 8.77",14,35,1.65850999019747,0.383951978128029
"36",36,36,"HOLZ07","Bees","Edge+Center","Cereal","Gradient",51.58,8.12,"Transects",1.36,5.75,1.719738352,2.778038877,7,7,1.900183647,9.1,836,"51.58 8.12",14,36,1.77846134629494,0.398675884295186
"37",37,37,"HOLZ10","Bees","Center","Cereal","Gradient",51.53,9.93,"Trap Nests",1.03,1.26,0.575499783,0.671416413,23,23,0.367823487,8.3,695,"51.53 9.93",15,37,0.361511907291352,0.0883770745555808
"38",38,38,"HOLZ10","Bees","Fallow Strip","Cereal","Gradient",51.53,9.93,"Trap Nests",1.33,1.58,0.767333044,0.719374729,23,23,0.336138727,8.3,695,"51.53 9.93",15,38,0.330370833599951,0.0881428792140601
"39",39,39,"HOLZ10","Wasps","Center","Cereal","Gradient",51.53,9.93,"Trap Nests",0.69,1.34,1.150999566,1.198957881,23,23,0.55308634,8.3,695,"51.53 9.93",15,39,0.543595786439805,0.0901684389025555
"40",40,40,"HOLZ10","Wasps","Margin","Cereal","Gradient",51.53,9.93,"Trap Nests",1.62,1.91,1.198957881,1.246916196,23,23,0.237088468,8.3,695,"51.53 9.93",15,40,0.23302020419907,0.087546721908315
"41",41,41,"HUBE","Bees","Edge","Cereal",NA,48.65,9.38,"Transects",2.57,2.66,1.233288287,1.005385498,10,7,0.07999131,8.5,768,"48.65 9.38",16,41,0.0744273399461076,0.24302006723748
"42",42,42,"HUBE","Bees","Edge","Cereal",NA,48.65,9.38,"Transects",2.58,2.65,1.296533841,1.031843011,10,7,0.059742927,8.5,768,"48.65 9.38",16,42,0.0554651862599058,0.242947624824403
"43",43,43,"JONA11","Butterflies","Margin","Cereal","Gradient",59.86,17.64,"Transects",8.4,10.3,1.341640786,2.529822128,20,40,0.938343117,5.6,558,"59.86 17.64",17,43,0.847774072872795,0.0809893406552944
"44",44,44,"JONA13","Moths","Margin","Mixed","Gradient",59.97,16.78,"Pan Traps",6.86,6.18,2.199601098,1.889715366,6,6,-0.331623107,5.4,590,"59.97 16.78",18,44,-0.306003765550189,0.337234929355454
"45",45,45,"KEHI12","Bees","Edge","Perennial","Complex",-33,18,"Combination",9.05,7.9,5.829785588,4.066152973,6,6,-0.228813249,17.2,285,"-33 18",19,45,-0.211136420279244,0.335190774498681
"46",46,46,"KRAU","Pollinating Insects","Center","Cereal","Complex",49.93,11.57,"Transects",0.14,6.25,0.426028168,3.059656844,15,15,2.797137052,8,674,"49.93 11.57",20,46,2.72142446790992,0.256769185575646
"47",47,47,"KRAU","Pollinating Insects","Edge","Cereal","Complex",49.93,11.57,"Transects",0.68,10.34,0.929516003,4.686309849,15,15,2.859446494,8,674,"49.93 11.57",20,47,2.7820473251062,0.262329788652176
"48",48,48,"KREM","Bees","Edge","Other","Simple",38.68,-121.77,"Transects",3.67,4.01,1.02,0.872066511,4,5,0.358301904,16.2,473,"38.68 -121.77",21,48,0.321837760185573,0.455754419104515
"49",49,49,"LORA","Bees","Across System","Mixed","Complex",31.4,52.62,"Pan Traps",20.33333333,20.66666667,6.519711708,6.3194365,3,3,0.051918209,14.4,150,"31.4 52.62",22,49,0.0414247378399165,0.666809667408759
"50",50,50,"MARJ14","Bumblebees","Margin","Cereal","Simple",57.87,26.95,"Transects",6.86,8.89,1.691478643,1.989974874,11,11,1.09921799,4.9,616,"57.87 26.95",23,50,1.05738673690134,0.207228788894883
"51",51,51,"MARJ14","Bumblebees","Margin","Cereal","Simple",59.07,26.2,"Transects",5.28,6.95,1.625146147,1.26031742,11,11,1.148383528,4.6,630,"59.07 26.2",23,51,1.10468125718242,0.209552742726594
"52",52,52,"MARJ21","Bumblebees","Margin","Cereal","Simple",57.87,26.95,"Transects",3.22,5.22,1.83,2.01,9,9,1.04052414,4.9,616,"57.87 26.95",24,52,0.990843102491582,0.24949361260431
"53",53,53,"MARJ21","Bumblebees","Margin","Cereal","Simple",57.87,26.95,"Transects",4.48,4.2,2.25,3.16227766,9,10,-0.102029204,4.9,616,"57.87 26.95",24,53,-0.0965231114286513,0.211356287717423
"54",54,54,"MARJ21","Bumblebees","Margin","Cereal","Simple",57.87,26.95,"Transects",3.11,5.78,3.54,3.224406922,9,8,0.788568427,4.9,616,"57.87 26.95",24,54,0.746045593515004,0.252481229570027
"55",55,55,"MARJ21","Bumblebees","Margin","Cereal","Simple",59.07,26.2,"Transects",0.82,2.25,1.126765282,1.470782105,6,8,1.091507652,4.6,630,"59.07 26.2",24,55,1.00012265519475,0.327389714003588
"56",56,56,"MARJ21","Bumblebees","Margin","Cereal","Simple",59.07,26.2,"Transects",1.88,5.21,1.74,1.35,9,9,2.138375081,4.6,630,"59.07 26.2",24,56,2.03627587104274,0.337400539527524
"57",57,57,"MARJ21","Bumblebees","Margin","Cereal","Simple",59.07,26.2,"Transects",1.65,3.17,2.008581589,2.718933614,6,6,0.63590534,4.6,630,"59.07 26.2",24,57,0.586778859847828,0.347679559598513
"58",58,58,"MART","Bees","Across System","Perennial","Gradient",37.98,-4.13,"Trap Nests",4,4,3,6,9,9,0,17.4,525,"37.98 -4.13",25,58,0,0.222222222222222
"59",59,59,"PADM","Butterflies","Margin","Mixed",NA,11.87,79.75,"Transects",0.98,2.43,0.314228728,1.0044785,15,15,1.948357458,28.3,1152,"11.87 79.75",26,59,1.89561954381026,0.193222890914591
"60",60,60,"POWE11","Bees","Center","Pasture","Complex",52.47,-8.16,"Transects",0.79,1.98,0.537587202,0.695701085,10,10,1.914133448,9,1112,"52.47 -8.16",27,60,1.83306305791907,0.284003004357691
"61",61,61,"POWE11","Bees","Edge","Pasture","Complex",52.47,-8.16,"Transects",3.61,3.1,1.328156617,0.948683298,10,10,-0.441893958,9,1112,"52.47 -8.16",27,61,-0.423178170232979,0.204476994094043
"62",62,62,"POWE11","Hoverflies","Center","Pasture","Complex",52.47,-8.16,"Transects",2.04,2.34,3.035786554,3.130654884,10,10,0.097289338,9,1112,"52.47 -8.16",27,62,0.0931687871353254,0.200217010572407
"63",63,63,"POWE11","Hoverflies","Edge","Pasture","Complex",52.47,-8.16,"Transects",5.48,6.09,3.16227766,2.972541001,10,10,0.198769842,9,1112,"52.47 -8.16",27,63,0.190351228744219,0.200905839757111
"64",64,64,"POWE16","Hoverflies","Across System","Pasture","Complex",52.47,-8.16,"Combination",25.97,26.94,8.327061298,8.237691257,9,9,0.117114443,9,1112,"52.47 -8.16",28,64,0.11152267727595,0.222567702987411
"65",65,65,"PUIG","Butterflies","Edge","Perennial","Complex",41.13,0.82,"Combination",3.8,4,1.218437926,1.223116742,10,10,0.16382974,15,566,"41.13 0.82",29,65,0.156890964792853,0.200615369370841
"66",66,66,"PUIG","Moths","Center","Perennial","Complex",41.13,0.82,"Combination",18.9,18.5,6.060125473,5.656914932,10,10,-0.068236236,15,566,"41.13 0.82",29,66,-0.0653461878353277,0.200106753106615
"67",67,67,"RUND06","Butterflies","Margin","Cereal","Simple",55.99,13.6,"Transects",0.3,0.9,0.048989795,0.122474487,6,6,6.432675209,7.4,696,"55.99 13.6",30,67,5.93572280056335,1.80136688188032
"68",68,68,"RUND06","Butterflies","Margin","Cereal","Complex",55.99,13.6,"Transects",1.4,1.61,0.122474487,0.171464282,6,6,1.409427716,7.4,696,"55.99 13.6",30,68,1.30054323523387,0.403808862779691
"69",69,69,"RUND08","Bumblebees","Margin","Cereal","Simple",55.99,13.6,"Transects",0.74,2.6,0.318433667,0.489897949,6,6,4.501903522,7.4,696,"55.99 13.6",31,69,4.15411169884636,1.05236016693717
"70",70,70,"RUND08","Bumblebees","Margin","Cereal","Complex",55.99,13.6,"Transects",2.09,2.78,0.440908154,0.612372436,6,6,1.293169215,7.4,696,"55.99 13.6",31,70,1.19326621254028,0.392661843916259
"71",71,71,"SIDE","Bumblebees","Center","Cereal","Simple",55.99,13.6,"Transects",2.1,3.5,0.8,1.3,18,20,1.297074953,7.4,696,"55.99 13.6",32,71,1.25422846653653,0.126254095638063
"72",72,72,"TUCK","Bees","Across System","Perrenial","Complex",43.24,-71.02,"Combination",133.58,165.58,10.91192009,14.02961154,12,12,2.546186219,7.4,1129,"43.24 -71.02",33,72,2.45821716229686,0.292558992021058
"73",73,73,"UZMA","Wasps","Center","Perennial","Gradient",49.85,8.35,"Trap Nests",1.32,1.44,1.496662955,1.239354671,14,15,0.087333376,9.9,584,"49.85 8.35",34,73,0.0851755233032111,0.138220322056789
"74",74,74,"VILL","Pollinating Insects","Across System","Perennial",NA,19.57,-101.71,"Other",16,23.5,9.4,5.2,4,6,0.987355061,14.6,1126,"19.57 -101.71",35,74,0.957126537278882,0.46247122708484
"75",75,75,"WEIB","Butterflies","Margin","Cereal",NA,58.86,17.64,"Transects",21.4,20.2,2.966479395,2.167948339,5,5,-0.461880215,6.9,512,"58.86 17.64",36,75,-0.416940810133494,0.408691981957739
"76",76,76,"WEIB","Butterflies","Margin","Cereal",NA,59.03,16.75,"Transects",23.66666667,24,2.309401077,2.645751311,3,3,0.134231211,6.3,573,"59.03 16.75",36,76,0.107101009794555,0.667622552191584
