Reference ID,Article Title,Source Title ,Year Published ,Authors ,Abstract ,DOI,Study Duration ,Study Location *,Sampling Method,Diversity Index ,Abundance?,Crop Type ,Cropping System ,Landscape Characteristics,Sampling Location,Scale,Control for Landscape Differences? ,Taxonommic group(s),Statistic 
GAYE,"Flowering fields, organic farming and edge habitats promote diversity of plants and arthropods on arable land",JOURNAL OF APPLIED ECOLOGY,2021,"Gayer, C; Berger, J; Dieterich, M; Galle, R; Reidl, K; Witty, R; Woodcock, B; Batary, P","Increased farming intensity led to massive declines across multiple farmland taxa. In Europe, measures introduced to counteract these losses include those considered agronomically productive, such as organic farming, as well as those that support no direct production of crops, such as non-crop flowering fields in conventional farming systems. We studied biodiversity effects of non-productive flowering fields managed under conventional farming compared to both an organically managed cereal mono-crop (organic winter spelt fields) and a flowering mixed-crop (organic lentil mixed-crop fields) as well as conventionally managed winter wheat fields, which served as control crop. These four crop-use types were studied on six sites over 3 years (17 sites in total) to assess their impact on the activity density (cover for plants), species richness and community composition of wild plants, carabids, spiders, butterflies and wild bees. Species richness of wild plants was highest under organic farming and at field edges when compared to the interior. In the case of carabids and spiders, species richness was highest at the field edges, but there was no difference between the four crop-use types. In contrast, activity density and species richness of butterflies and wild bees responded only to flowering crop-use types, showing no edge effects. Arable land cover in 500 m buffer area also affected community composition of all taxa, with the exception of spiders, but had only minor effects on activity densities and species richness. Synthesis and applications. Our findings underline that there is no single best measure to promote biodiversity on arable land. Instead a mosaic of non-productive and productive measures such as conventional flowering fields, organic crops and field edge habitats might be more appropriate to support the regional species pool in arable-dominated landscapes. To support a range of complementary biodiversity-promoting farming practices, agricultural policy should foster the coordination and collaboration between multiple farmers within the same region by covering additional costs for coordination and prioritizing collaborative schemes.",10.1111/1365-2664.13851,3 years ,"SW Germany (48.53°N, 09.4°E)",Transects ,Species richness,0,"C- Wheat, flowering field; O- spelt, lentils",Cereal,Arable-dominated homogeneous to heterogeneous landscape gradient ,Edge and center ,field ,1,"Bees, butterflies  ","t, z"
GEPP,Agri-environment schemes enhance pollinator richness and abundance but bumblebee reproduction depends on field size,JOURNAL OF APPLIED ECOLOGY,2020,"Geppert, C; Hass, A; Foldesi, R; Donko, B; Akter, A; Tscharntke, T; Batary, P","Pollinators have experienced a dramatic decrease world-wide due to agricultural intensification. In many countries, agri-environment schemes (AES) have been introduced to counteract this current trend. However, until now, the relative importance of each AES for biodiversity and ecosystem services is still little understood and might change depending on landscape context. Complex landscape-experiments are required to fill this knowledge gap, enabling the implementation of sustainable intensification of food production. In our study, we compared the effectiveness of the two most popular AES in Germany, organic farming and flower strips, in supporting pollinators and flower resources. We selected nine landscapes along a gradient of increasing field size, (configurational heterogeneity), each with a triplet of winter wheat fields: one organic, one conventional with flower strip and one conventional without flower strip as a control. We surveyed insect-pollinated plants and pollinators (bumblebees, solitary bees and hoverflies). Additionally, we placed bumblebee colonies in the field edges to monitor their growth (colony weight gain) and reproduction (queen production). Flower strips stood out with the highest abundance and richness of pollinators. In contrast, bumblebee colony growth and plant richness benefited equally from organic and flower strip schemes. At the landscape scale, smaller fields had a positive effect on plant richness and bumblebee reproduction in flower strips. By contrast, bumblebee colonies in organic agriculture benefited most from large fields, as large organic fields provided much more flower resources than the narrow flower strips. Synthesis and applications. Our results showed that both local and landscape management shaped pollinator communities and their reproduction. Overall, organic farming and flower strips appeared to be effective tools to mitigate flower shortage in conventional cereal fields, with organic farming supporting the highest flowering plant cover per field. Flower strips enhanced local pollinator richness most, but increased bumblebee reproduction only when the surrounding landscapes had small fields with long field borders. Therefore, our results reveal that European Union policies need to take into account that the effectiveness of agri-environment schemes depends on the structure of the surrounding landscape.",10.1111/1365-2664.13682,4 months,"NW Germany (51.53°N, 09.94°E)",Transects + sweep nets ,Species richness,1,Winter wheat,Cereal,Simple agricultural lanscapes with low semi-natural habitat,Edge ,field ,1,"Bumblebees, solitary bees, hoverflies ",z
GODE,Effects of organic farming on plant and butterfly functional diversity in mosaic landscapes,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2019,"Goded, S; Ekroos, J; Azcarate, JG; Guitian, JA; Smith, HG","Organic farming can benefit plants and butterflies in terms of species richness and abundance, in particular in homogeneous landscapes. Nevertheless, whether organic farming can benefit functional diversity of these two organism groups is not well understood. Organic farming could benefit functional diversity by counteracting simplification and homogenisation of biotic communities caused by earlier agricultural intensification, and therefore contribute to communities more resilient to environmental or land use changes. We analysed species richness and four functional diversity indices (functional richness, evenness, divergence and dispersion) of plants and butterflies on 15 pairs of organic/conventional farms in North-West Spain, whilst accounting for independent and joint effects of landscape context. To better understand links between functional diversity and taxonomic species assemblages, we applied an indicator species analysis to determine whether any particular plant or butterfly species were significantly more abundant on organic or conventional farms. Both butterfly species and functional richness were higher on organic than on conventional farms. In addition, when the farms were surrounded by low proportions of agriculture, butterfly functional evenness was higher on organic farms. In contrast, organic farming did not affect plant species richness or functional diversity. Nevertheless, plants were affected by landscape openness and field size, so that plant functional richness decreased with increasing landscape openness while functional evenness showed a complex relationship to the interaction between field size and landscape openness. Indicator analyses revealed that three plant species, but no individual butterfly species, were significantly related to organic farming. In conclusion, organic farms provide higher-quality habitat for butterflies than conventional farms, either by promoting specific grassland plants benefiting butterflies, or more generally by providing a wider niche space, fostering functionally diverse butterfly communities.",10.1016/j.agee.2019.106600,1 year,"Galicia, Spain (42.75°N, 07.93°W)",Transects,"Species richness, functional richness",1,Wheat pasture ,Cereal,"mosaic, 45% forest",Center,farm,1,Butterflies,F
HAPP,Small-scale agricultural landscapes and organic management support wild bee communities of cereal field boundaries,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2018,"Happe, AK; Riesch, F; Rosch, V; Galle, R; Tscharntke, T; Batary, P","Pollinators are sensitive to agricultural intensification at both local and landscape scales. High configurational landscape heterogeneity due to small fields and a high amount of field boundaries is hypothesized to enhance farmland biodiversity. Here, we investigated the effects of organic vs. conventional farming in large- vs. small-scale agricultural landscapes on wild bee communities and their floral resources to improve conservation schemes for pollinators. We sampled bees in Central Germany at the field boundaries of 18 pairs of conventionally and organically managed winter wheat fields along the former iron curtain using pan traps and trap nests. Around traps, we surveyed species richness and flower cover of insect-pollinated forbs. Compared to conventional farming, organic farming was related to higher insect-pollinated forb species richness and flower cover in the field boundaries, presumably due to the lack of herbicide use. Interestingly, small-scale agriculture did not counteract the loss of floral resources under conventional management, as the difference to organic management was even larger in Western small-scale agriculture. Organic farming, but not small-scale agriculture, enhanced species richness of solitary bees, which is in line with their small home ranges. In contrast, bumblebees benefitted only from small-scale agriculture, which matches with their high dispersal ability. Despite similar levels of abundance and diversity of trap-nesting bees in the two landscape types, brood cell parasitism was also higher in small-scale agriculture. Both organic farming and small-scale agriculture directly and indirectly supported different groups of wild bees, suggesting long-term benefits for conservation. Agri environment schemes should acknowledge the so far neglected benefits of small-scale agriculture for biodiversity and its potential services.",10.1016/j.agee.2017.11.019,< 1 year,"Central Germany ((W- 52.64°N, 9.85°E); (E- 51.01°N, 10.85°E))",Pan traps,Species richness,1,Winter wheat,Cereal,"Intensive cropland/pastures, forest patches and hedgegrows ",Edge ,field,1,"Bumblebees, solitary bees ",(GLMM)
HAUS,Toward a standardized quantitative and qualitative insect monitoring scheme,ECOLOGY AND EVOLUTION,2020,"Hausmann, A; Segerer, AH; Greifenstein, T; Knubben, J; Moriniere, J; Bozicevic, V; Doczkal, D; Gunter, A; Ulrich, W; Habel, JC","The number of insect species and insect abundances decreased severely during the past decades over major parts of Central Europe. Previous studies documented declines of species richness, abundances, shifts in species composition, and decreasing biomass of flying insects. In this study, we present a standardized approach to quantitatively and qualitatively assess insect diversity, biomass, and the abundance of taxa, in parallel. We applied two methods: Malaise traps, and automated and active light trapping. Sampling was conducted from April to October 2018 in southern Germany, at four sites representing conventional and organic farming. Bulk samples obtained from Malaise traps were further analyzed using DNA metabarcoding. Larger moths (Macroheterocera) collected with light trapping were further classified according to their degree of endangerment. Our methods provide valuable quantitative and qualitative data. Our results indicate more biomass and higher species richness, as well as twice the number of Red List lepidopterans in organic farmland than in conventional farmland. This combination of sampling methods with subsequent DNA metabarcoding and assignments of individuals according depending on ecological characteristics and the degree of endangerment allows to evaluate the status of landscapes and represents a suitable setup for large-scale long-term insect monitoring across Central Europe, and elsewhere.",10.1002/ece3.6166,1 year,"Pfaffenhofen, Germany (48.5°N,11.53°E)","Malaise traps, light traps ",Species richness,0,Grassland ,Pasture,Intensively used grasslands adjacent to forest fringes ,Edge ,farm ,1,Lepidoptera,n/a
HOLZ07,"Diversity of flower-visiting bees in cereal fields: effects of farming system, landscape composition and regional context",JOURNAL OF APPLIED ECOLOGY,2007,"Holzschuh, A; Steffan-Dewenter, I; Kleijn, D; Tscharntke, T","1. Agri-environment schemes promote organic farming in an attempt to reduce the negative effects of agricultural intensification on farmland biodiversity and ecosystem services such as pollination. Farming system, landscape context and regional differences may all influence biodiversity, but their relative impact and possible interactions have been little explored. 2. The study was performed in three regions (150 km apart, 400-500 km(2) per region) differing in land use intensity. Within each region, seven pairs of conventionally and organically cultivated wheat fields (mean size 4 ha, 42 study fields) were selected to encompass a gradient from heterogeneous to homogeneous landscapes within a 1-km radius around each field. 3. Farming system had the greatest influence on biodiversity. Higher bee diversity, flower cover and diversity of flowering plants were recorded in organic compared with conventional fields. Bee diversity was related both to flower cover and diversity of flowering plants, suggesting plant-mediated effects of the farming system. 4. Differences in bee diversity between organic and conventional fields increased with the proportion of arable crops in the surrounding landscape, indicating that processes at the landscape level modified the effectiveness of organic farming in promoting biodiversity. Similar patterns for flower cover and diversity of flowering plants suggested that landscape effects on bee diversity were mainly resource-mediated. After statistically removing the variance explained by flower parameters, residual bee diversity increased with increasing landscape heterogeneity. 5. Bee diversity differed between the three regions, but the effects of farming systems and landscape context were independent of regional differences. 6. Synthesis and applications. Bee diversity in wheat fields was mainly influenced by farming system, but an understanding of local bee diversity needs to incorporate both landscape and regional perspectives. The consistency of the results in three regions provides a reliable basis for management decisions. Agri-environment schemes that promote organic farming in homogeneous landscapes where there are few remaining flower-rich habitats could have the highest relative impact. However, while organic farming could help to sustain pollination services by generalist bees in agricultural landscapes, other measures are required to conserve more specialized bee species in semi-natural habitats.",10.1111/j.1365-2664.2006.01259.x,< 1 year,"Germany ((LB- 51.53°N, 09.93°E); (LDB- 50.82°N, 08.77°E); (SB- 51.58°N, 08.12°E))",Transects,Species richness,1,Winter wheat,Cereal,(SB) intensive wheat and sugar beet agriculture; (LB) productive diverse agricultural landscape and intermittent hills; (LDB) grassland with minimal fields and intensive homogeneous agriculture ,Across system ,field,1,Bees,F
HOLZ10,"How do landscape composition and configuration, organic farming and fallow strips affect the diversity of bees, wasps and their parasitoids?",JOURNAL OF ANIMAL ECOLOGY,2010,"Holzschuh, A; Steffan-Dewenter, I; Tscharntke, T","P>1. Habitat destruction and increasing land use intensity result in habitat loss, fragmentation and degradation, and subsequently in the loss of species diversity. The fact that these factors are often highly confounded makes disentangling their effects extremely difficult, if not impossible, and their relative impact on species loss is mostly speculative. 2. In a two-year study, we analysed the relative importance of changed landscape composition (increased areas of cropped habitats), reduced habitat connectivity and reduced habitat quality on nest colonization of cavity-nesting bees, wasps and their parasitoids. We selected 23 pairs of conventional and organic wheat fields in the centre of landscape circles (500 m radius) differing in edge densities (landscape configuration) and % non-crop habitats (landscape composition). Standardized trap nests were established in the field centres and in neighbouring permanent fallow strips (making a total of 92 nesting sites). 3. Factors at all three scales affected nest colonization. While bees were enhanced by high proportions of non-crop habitat in the landscape, wasps profited from high edge densities, supporting our hypothesis that wasps are enhanced by connecting corridors. Colonization of herbivore-predating wasps was lower in field centres than in fallow strips for conventional sites, but not for organic sites, indicating a fallow-like connectivity value of organic fields. The relative importance of habitat type and farming system varied among functional groups suggesting that their perception of crop-non-crop boundaries or the availability of their food resources differed. 4. Local and landscape effects on parasitoids were mainly mediated by their hosts. Parasitism rates were marginally affected by local factors. A specialist parasitoid was more sensitive to high land use intensity than its host, whereas generalist parasitoids were less sensitive. 5. We conclude that the conversion of cropland into non-crop habitat may not be a sufficiently successful strategy to enhance wasps or other species that suffer more from isolation than from habitat loss. Interestingly, habitat connectivity appeared to be enhanced by both higher edge densities and by organic field management. Thus, we conclude that high proportions of conventionally managed and large crop fields threaten pollination and biological control services at a landscape scale.",10.1111/j.1365-2656.2009.01642.x,2 years ,"NW Germany (51.53°N, 09.93°E)",Trap nests ,Species richness,0,Winter wheat,Cereal,Intensive flat cropland alternating with less intensive hilly regions,Center and fallow strip,field ,1,"Bees, wasps ",F
HUBE ,The impact of maize-bean intercropping on insect biodiversity,BASIC AND APPLIED ECOLOGY,2022,"Huber C; Zetti, F; Hartung, J; Muller-Lindenlauf, M","Intensive agriculture is one of the main reasons for recent insect declines. This loss of biodiversity has created the need to develop methods of intensive cultivation that combine high yields with biodiversity conservation. One promising method in maize cultivation is intercropping with beans. The objective of this study was to determine whether maize-bean intercropping could increase insect biodiversity. We examined the activity density, species richness and Shannon diversity of bees and carabid beetles in pure and intercropped maize under both organic and conventional management. We collected carabid beetles using pitfall traps and bees by doing transect walks. The study was carried out in an agricultural landscape, on a set of 17 study sites. We found that intercropping leads to significant increases in bumblebee and honeybee activity as well as in bee species richness. Differences between pure and intercropped maize were dependent on the year of data acquisition and the management style. Solitary wild bee species activity was not significantly affected. Carabid activity density and carabid species richness also did not differ significantly between the cropping systems. We conclude that maize-bean intercropping can contribute to insect biodiversity conservation but its contribution is limited to bumblebees. Despite its relatively low contribution per hectare, maize-bean intercropping could have a surprisingly positive impact, as maize now covers large areas of German farmland. Potential exists to increase the biodiversity value of maize intercropping even further by using varied plant mixes. Our results strongly encourage further research in this direction.",10.1016/j.baae.2022.03.005,2 years,"Baden-Württemberg, Germany (48.65°N, 09.38°E)",Observation + collection,Species richness,1,Corn only; corn-bean intercropping,Cereal,"Primarily farmland with some hedge structures, grassland, and nearby settlements",Center,farm,0,Bees ,F
JONA11,Assessing the effect of the time since transition to organic farming on plants and butterflies,JOURNAL OF APPLIED ECOLOGY,2011,"Jonason, D; Andersson, GKS; Ockinger, E; Rundlof, M; Smith, HG; Bengtsson, J","P>1. Environmental changes may not always result in rapid changes in species distributions, abundances or diversity. In order to estimate the effects of, for example, land-use changes caused by agri-environment schemes (AES) on biodiversity and ecosystem services, information on the time-lag between the application of the scheme and the responses of organisms is essential. 2. We examined the effects of time since transition (TST) to organic farming on plant species richness and butterfly species richness and abundance. Surveys were conducted in cereal fields and adjacent field margins on 60 farms, 20 conventional and 40 organic, in two regions in Sweden. The organic farms were transferred from conventional management between 1 and 25 years before the survey took place. The farms were selected along a gradient of landscape complexity, indicated by the proportion of arable land, so that farms with similar TST were represented in all landscape types. Organism responses were assessed using model averaging. 3. Plant and butterfly species richness was c. 20% higher on organic farms and butterfly abundance was about 60% higher, compared with conventional farms. Time since transition affected butterfly abundance gradually over the 25-year period, resulting in a 100% increase. In contrast, no TST effect on plant or butterfly species richness was found, indicating that the main effect took place immediately after the transition to organic farming. 4. Increasing landscape complexity had a positive effect on butterfly species richness, but not on butterfly abundance or plant species richness. There was no indication that the speed of response to organic farming was affected by landscape complexity. 5. Synthesis and applications. The effect of organic farming on diversity was rapid for plant and butterfly species richness, whereas butterfly abundance increased gradually with time since transition. If time-lags in responses to AESs turn out to be common, long-term effects would need to be included in management recommendations and policy to capture the full potential of such schemes.",10.1111/j.1365-2664.2011.01989.x,3 months ,"Sweden (59.86°N, 17.64°E)",Transects ,Species richness ,1,Cereal,Cereal,Gradient from homogeneous agricultural to complex forested landscapes,Margin ,field,1,Butterflies ,(AIC)
JONA13,Transient peak in moth diversity as a response to organic farming,BASIC AND APPLIED ECOLOGY,2013,"Jonason, D; Franzen, M; Pettersson, LB","Few initiatives to preserve and enhance biodiversity on farmland have been as thoroughly evaluated and debated as the agri-environment schemes (AES). Yet, little is known how confounding factors co-varying with the specific AES measures may affect species responses. Here, we quantify the influence of one such factor, the time since transition to organic farming, on moth diversity patterns. We found that species richness and abundance of moths were higher on new organic farms (years since transition <= 6) compared to old organic (>= 15 years) and conventional farms, indicating a transient diversity peak. This correlates with the abundance patterns of the weed Cirsium arvense, which also reached its highest densities on new organic farms. Weeds such as C. arvense constitute a notorious problem in organic farming. However, they also provide various resources for farmland biodiversity, and our results strongly suggest that the transient weed peak may be important in influencing the parallel peak among the moths. This stresses the problem in balancing out production and conservation values. More generally, our results show that rather than having static effects on the environment, AES can have an important temporal component and result in adynamic interplay between different trophic levels.",10.1016/j.baae.2013.07.003,< 1 year ,"SE Sweden (59.97°N, 16.78°E)",Bait traps ,Species richness ,1,Not standardized,Mixed,Homogeneous to heterogeneous gradient ,Margin,field ,1,Moths,F
KEHI12,Endemic pollinator response to organic vs. conventional farming and landscape context in the Cape Floristic Region biodiversity hotspot,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2012,"Kehinde, T; Samways, MJ","The effects of organic management and landscape context on two highly endemic and important pollinator taxa (bees and monkey beetles) were studied in the Cape Floristic Region (CFR) biodiversity hotspot, where a quarter of the land is intensively managed mostly for grape production. This functional group was chosen as there is concern worldwide over pollinator decline, particularly in regions of high levels of endemism of both flora and fauna such as the CFR. Species richness and abundance of bees and monkey beetles were sampled and compared between organic and conventional vineyards, with natural vegetation as reference habitat. Species richness of monkey beetles, but not the species richness of bees, benefited from organic compared to conventional vineyard management. Our findings support the hypothesis that the effects of landscape context and management may be taxon dependent. Monkey beetles have been suggested as strong indicators of disturbance. These beetles are among the most important pollinator guilds in the CFR, as they help to sustain the endemic vegetation of this region. Protection of the remaining natural habitat in close proximity to farmland is an imperative conservation strategy in this region. (C) 2011 Elsevier B.V. All rights reserved.",10.1016/j.agee.2011.10.020,3 months,"South Africa (33°S, 18°E)",Pan traps + window traps ,Species richness,0,Vineyard,Perennial ,n/a,Edge,field,1,Bees ,t
KEHI18,Organic farming promotes bee abundance in vineyards in Italy but not in South Africa,JOURNAL OF INSECT CONSERVATION,2018,"Kehinde, T; Wehrden, H; Samways, M; Klein, AM; Brittain, C","Although grapevine is a crop that produces fruit without insect pollination, vineyards may provide resources for bees and other pollinators. Flower resources such as pollen and nectar are provided by the vine plants as well as other flowering plants including cover crops grown between the vine rows. Little is known about how management and landscape context affects bee communities in pollinator-independent crop systems such as grapevine. This study investigates the effect of organic versus conventional management on bee species richness and abundance in vineyards in Italy and South Africa both having a Mediterranean climate. In each country, six pairs of organic and conventional vineyards were studied in simplified and complex agricultural landscapes. A total of 433 bee individuals from 25 species and 1049 individuals from 15 species were recovered in pan traps from Italy and South Africa respectively. Bee abundance showed region specific response to the effects of vineyard management. Flowering plants and proportion of uncultivated land mediated differences in bee abundance. Higher flowering plant species richness and flower density were found in organic vineyards compared to conventional vineyards in South Africa but these flowering plant indices were not significantly different between the two vineyard management types in Italy. This emphasizes the necessity for local and region specific studies for informing conservation, as even in the same crop system with a similar climate, the effects of farm management differed between countries.",10.1007/s10841-017-0038-4,3 months,"South Africa (33°S, 19°E), Italy (45°N, 12°E)",Pan traps ,n/a,1,Vineyard,Perennial ,n/a,Center,field,1,Bees,"t, z"
KRAU,Decreased Functional Diversity and Biological Pest Control in Conventional Compared to Organic Crop Fields,PLOS ONE,2011,"Krauss, J; Gallenberger, I; Steffan-Dewenter, I","Organic farming is one of the most successful agri-environmental schemes, as humans benefit from high quality food, farmers from higher prices for their products and it often successfully protects biodiversity. However there is little knowledge if organic farming also increases ecosystem services like pest control. We assessed 30 triticale fields (15 organic vs. 15 conventional) and recorded vascular plants, pollinators, aphids and their predators. Further, five conventional fields which were treated with insecticides were compared with 10 non-treated conventional fields. Organic fields had five times higher plant species richness and about twenty times higher pollinator species richness compared to conventional fields. Abundance of pollinators was even more than one-hundred times higher on organic fields. In contrast, the abundance of cereal aphids was five times lower in organic fields, while predator abundances were three times higher and predator-prey ratios twenty times higher in organic fields, indicating a significantly higher potential for biological pest control in organic fields. Insecticide treatment in conventional fields had only a short-term effect on aphid densities while later in the season aphid abundances were even higher and predator abundances lower in treated compared to untreated conventional fields. Our data indicate that insecticide treatment kept aphid predators at low abundances throughout the season, thereby significantly reducing top-down control of aphid populations. Plant and pollinator species richness as well as predator abundances and predator-prey ratios were higher at field edges compared to field centres, highlighting the importance of field edges for ecosystem services. In conclusion organic farming increases biodiversity, including important functional groups like plants, pollinators and predators which enhance natural pest control. Preventative insecticide application in conventional fields has only short-term effects on aphid densities but long-term negative effects on biological pest control. Therefore conventional farmers should restrict insecticide applications to situations where thresholds for pest densities are reached.",10.1371/journal.pone.0019502,2 months,"Bayreuth, Germany (49.93°N, 11.57°E)",Transects ,Species richness ,1,Winter triticale,Cereal ,"Relatively heterogeneous rich in forest and agricultural land, with some grassland and permanent crops",Edge and center ,field ,1,Pollinators (Syrphidae + Lepidoptera),r
KREM,Crop pollination from native bees at risk from agricultural intensification,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,2002,"Kremen, C; Williams, NM; Thorp, RW","Ecosystem services are critical to human survival; in selected cases, maintaining these services provides a powerful argument for conserving biodiversity. Yet, the ecological and economic underpinnings of most services are poorly understood, impeding their conservation and management. For centuries, farmers have imported colonies of European honey bees (Apis mellifera) to fields and orchards for pollination services. These colonies are becoming increasingly scarce, however, because of diseases, pesticides, and other impacts. Native bee communities also provide pollination services, but the amount they provide and how this varies with land management practices are unknown. Here, we document the individual species and aggregate community contributions of native bees to crop pollination, on farms that varied both in their proximity to natural habitat and management type (organic versus conventional). On organic farms near natural habitat, we found that native bee communities could provide full pollination services even for a crop with heavy pollination requirements (e.g., watermelon, Citrullus lanatus), without the intervention of managed honey bees. All other farms, however, experienced greatly reduced diversity and abundance of native bees, resulting in insufficient pollination services from native bees alone. We found that diversity was essential for sustaining the service, because of year-to-year variation in community composition. Continued degradation of the agro-natural landscape will destroy this free service, but conservation and restoration of bee habitat are potentially viable economic alternatives for reducing dependence on managed honey bees.",10.1073/pnas.262413599,2 years ,"CA, USA (38.68°N, 121.77°W)",Transects,Species richness,1,Watermelon ,Other,Intensity gradient with varying levels of isolation from nearby oak woodland and chaparral habitat,Edge,farm,1,Bees,F
LORA,Are there differences in the diversity of bees between organic and conventional agroecosystems in the Pampa biome?,JOURNAL OF APICULTURAL RESEARCH,2021,"Lorandi, S; Mustin, K; Halinski, R; Iserhard, CA","Insect pollination is essential for the maintenance of ecosystems and for agricultural productivity. Bees are the main pollinator group and their assemblages are threatened by agricultural intensification. This study aimed to compare the diversity and structuring of bee assemblages between organic and conventional agroecosystems and to evaluate the influence of landscape composition on bee abundance in the Pampa biome. The study was carried out on three organic and three conventional family farms. Sampling was performed during the summer using pan traps. Four sampling units were placed on each farm, of which three were placed in crop field areas and one in native forest remnants. The diversity profile showed no significant difference between agroecosystems. Species abundance distribution indicates fewer dominant species in the organic system, suggesting the positive influence of polyculture on assemblage structure. Bee composition was different between agroecosystems. Notably, the species composition of bees in the forest edge of conventional farms was quite similar to that found in the organic habitats, indicating the importance of forested environments as a refuge for bees in conventional systems. The landscape analysis showed that the increase in the proportion of crop field areas negatively influenced the abundance of bees. We suggest that the maintenance of a heterogeneous agricultural landscape and smallholdings, composed of native and semi-natural habitats and organic practices on family farms can help to provide diverse niches for wild bees in the Pampa, contributing to biodiversity conservation and supporting ecosystem processes, like pollination.",10.1080/00218839.2021.1888524,3 months ,"S. Brazil (31.40°N, 52.62°E)",Pan traps ,Species richness,1,"Orchard, fruits, vegetables, legumes, and pasture ",Mixed,"Shrubby grasslands, semi-deciduous forest patches ",Across system ,farm ,0,Bees,q
MARJ14,Environmentally friendly management as an intermediate strategy between organic and conventional agriculture to support biodiversity,BIOLOGICAL CONSERVATION,2014,"Marja, R; Herzon, I; Viik, E; Elts, J; Mand, M; Tscharntke, T; Batary, P","Farmland biodiversity dramatically declined in Europe during the 20th century. Agri-environment schemes (AES) were introduced in the late 1980s in European Union countries as a solution to combat biodiversity decline. We examined the effectiveness of AES in enhancing biodiversity in a new EU member country (Estonia) over the period of 2010-2012. We compared species numbers and abundance of bumblebees and birds, plus cover of flowers, between three farming systems in two regions of Estonia. Farm types included conventional and two under AES (organic and a less strict environmentally friendly management agreement). Environmentally friendly management practices in Estonia include diversified crop rotations, at least 15% of arable land (including rotational grasslands) under legumes, permanent grassland strips, protection of landscape elements, reduced applications of agrochemicals, etc. The two selected regions (North and South) differed in landscape structure, soil types and crop yields. Flower cover and bird species richness and abundance without the dominant species (skylark) were higher on organic farms. Bumblebee species richness was significantly higher under both types of AES than under conventional farming. Flower cover, abundance and species richness of bumblebees and birds were significantly higher in the more heterogeneous landscapes of Southern Estonia. Environmentally friendly management may be a viable alternative to organic farming for a widely accepted, simple but large-scale greening of agricultural landscapes.",10.1016/j.biocon.2014.08.005,3 years ,"Estonia ((S-57.87°N, 26.95°E); (N-59.07°N 26.20°E))",Transects,Species richness,1,"Spring rape, spring barley, spring wheat, winter wheat, oat",Cereal,S- diverse landscape with comparatively low agricultural yields N- open landscape occupied by large fields with comparatively high agricultural yields,Margin,farm,1,Bumblebees,F
MARJ21,Environmentally-friendly and organic management practices enable complementary diversification of plant–bumblebee food webs,BIOLOGICAL CONSERVATION,2021,"Marja, R; Klein, AM; Viik, E; Batary, P","Plant and pollinator diversity have declined concurrently in Europe in the last half century. We studied plant–bumblebee food webs to understand the effects of two agri-environmental schemes (AES, organic farming and environmentally-friendly management practice) vs. conventional farming as control group, landscape structure (heterogeneous vs. homogeneous landscapes) and seasonality (June, July, and August) interactions using Estonian AES monitoring data. In the summer of 2014, we observed foraging bumblebees (20 species) on 64 farms that varied in agricultural management and landscape structure, yielding a total of 2303 flower visits on 76 plant species. We found that both management practice and landscape structure influenced the generality (redundancy in the use of flower resources) of food webs. In homogeneous landscapes, environmentally-friendly management practices, including restrictions on the application of glyphosates, enhancement of bumblebee habitats, such as permanent grassland field margins, the allocation of a minimum of 15% of arable land (including rotational grasslands) to legumes, contributed to a higher number of visited plant species (generality) in July, whereas organic farming did so in August. Therefore, both environmentally-friendly and organic management practices are needed to support plant–bumblebee food webs in agricultural landscapes. Food web generality and diversity (Shannon index) are affected by a significant interaction between landscape structure and seasonality: food web diversity varied in homogeneous landscapes between the three different survey months, whereas food webs were more diverse in heterogeneous landscapes. We did not find any significant interaction effect of management, landscape structure and seasonality on linkage density and vulnerability. A full list of the most visited plant species by bumblebees based on species-specific flower visitation was also assembled. In homogeneous landscapes, resource limitation is an issue for bumblebees in certain time periods. For supporting bumblebees in the agricultural landscapes, avoiding resource limitation is important and this can be secured with a combination of AES management practices.",10.1016/j.baae.2021.03.013,1 year,"((S-57.87°N, 26.95°E); (N-59.07°N 26.20°E))",Transects,Species richness,0,"Spring rape, spring barley, spring wheat, winter wheat, oat",Cereal,S- diverse landscape with comparatively low agricultural yields N- open landscape occupied by large fields with comparatively high agricultural yields,Margin,farm,1,Bumblebees ,t
